"Country","Year","Week_ahead","Model","Accuracy","MZE","macroMAE"
"ARM","2015","1","hist",0.829,0.171,0.1
"AUT","2015","1","hist",0.188,0.812,1.13571428571429
"BEL","2015","1","hist",0.792,0.208,3.06899224806202
"CHE","2015","1","hist",0.811,0.189,1.93333333333333
"CZE","2015","1","hist",0.736,0.264,3.25487804878049
"DNK","2015","1","hist",0.667,0.333,0.179649122807018
"EST","2015","1","hist",0.396,0.604,1.21320512820513
"ESP","2015","1","hist",0.655,0.345,2.21666666666667
"GEO","2015","1","hist",0.566,0.434,0.18452380952381
"GRC","2015","1","hist",0.382,0.618,3.3
"HRV","2015","1","hist",0.556,0.444,3.55
"HUN","2015","1","hist",0.792,0.208,0.883333333333333
"IRL","2015","1","hist",0.811,0.189,0.4
"ISR","2015","1","hist",0.774,0.226,0.6
"ITA","2015","1","hist",0.625,0.375,0.883333333333333
"KGZ","2015","1","hist",0.594,0.406,0.590526315789474
"LTU","2015","1","hist",0.868,0.132,0.302127659574468
"LUX","2015","1","hist",0.621,0.379,1.76666666666667
"LVA","2015","1","hist",0.69,0.31,2.7
"MAR","2015","1","hist",0.75,0.25,0.172857142857143
"MDA","2015","1","hist",0.943,0.0570000000000001,0.1
"MLT","2015","1","hist",0.957,0.043,0.8
"NLD","2015","1","hist",0.415,0.585,3.23257575757576
"NOR","2015","1","hist",0.103,0.897,3.6
"POL","2015","1","hist",0.191,0.809,1.07948717948718
"PRT","2015","1","hist",0.83,0.17,2.85
"ROU","2015","1","hist",0.854,0.146,0.6
"SRB","2015","1","hist",0.565,0.435,0.448571428571429
"SVN","2015","1","hist",0.774,0.226,1.48
"SVK","2015","1","hist",0.769,0.231,1.916
"TUR","2015","1","hist",0.475,0.525,0.58125
"USA","2015","1","hist",0.585,0.415,1.62274509803922
"ARM","2016","1","hist",0.692,0.308,2.6027027027027
"AUT","2016","1","hist",0.294,0.706,0.996666666666667
"BEL","2016","1","hist",0.865,0.135,0.816666666666667
"CHE","2016","1","hist",0.75,0.25,0.616666666666667
"CZE","2016","1","hist",0.75,0.25,0.605012531328321
"DNK","2016","1","hist",0.571,0.429,0.686764705882353
"EST","2016","1","hist",0.346,0.654,2.08947368421053
"ESP","2016","1","hist",0.464,0.536,0.765
"GEO","2016","1","hist",0.609,0.391,0.06875
"GRC","2016","1","hist",0.133,0.867,0.7
"HRV","2016","1","hist",0.643,0.357,0.293859649122807
"HUN","2016","1","hist",0.75,0.25,0.655
"IRL","2016","1","hist",0.75,0.25,0.512631578947368
"ISR","2016","1","hist",0.712,0.288,1.85192307692308
"ITA","2016","1","hist",0.364,0.636,0.768333333333333
"KGZ","2016","1","hist",0.28,0.72,2.56848484848485
"LTU","2016","1","hist",0.865,0.135,1
"LUX","2016","1","hist",0.679,0.321,0.686666666666667
"LVA","2016","1","hist",0.714,0.286,0.6
"MAR","2016","1","hist",0.617,0.383,0.305128205128205
"MDA","2016","1","hist",1,0,0
"MLT","2016","1","hist",0.778,0.222,0.304545454545455
"NLD","2016","1","hist",0.442,0.558,2.25511363636364
"NOR","2016","1","hist",0.107,0.893,2.1
"POL","2016","1","hist",0.283,0.717,1.36212121212121
"PRT","2016","1","hist",0.712,0.288,1.55
"ROU","2016","1","hist",0.885,0.115,0.1
"SRB","2016","1","hist",0.5,0.5,0.962857142857143
"SVN","2016","1","hist",0.769,0.231,0.619565217391304
"SVK","2016","1","hist",0.805,0.195,0.201503759398496
"TUR","2016","1","hist",0.267,0.733,0.6
"USA","2016","1","hist",0.462,0.538,0.850576923076923
"ARM","2017","1","hist",0.75,0.25,0.666666666666667
"AUT","2017","1","hist",0.091,0.909,1.925
"BEL","2017","1","hist",0.714,0.286,1.39642857142857
"CHE","2017","1","hist",0.692,0.308,1.88333333333333
"CZE","2017","1","hist",0.712,0.288,2.91666666666667
"DNK","2017","1","hist",0.643,0.357,0.176315789473684
"EST","2017","1","hist",0.385,0.615,0.873949579831933
"ESP","2017","1","hist",0.5,0.5,1.81944444444444
"GEO","2017","1","hist",0.435,0.565,0.0577777777777778
"GRC","2017","1","hist",0.385,0.615,2.75166666666667
"HRV","2017","1","hist",0.5,0.5,2.33888888888889
"HUN","2017","1","hist",0.571,0.429,3.18157894736842
"IRL","2017","1","hist",0.769,0.231,0.813333333333333
