"Country","Year","Week_ahead","Model","Accuracy","MZE","macroMAE"
"ARM",2015,1,"rolling",0.854,0.146,0.0743697478991597
"AUT",2015,1,"rolling",0.438,0.562,0.371428571428571
"BEL",2015,1,"rolling",0.83,0.17,1.36666666666667
"CHE",2015,1,"rolling",0.868,0.132,0.833333333333333
"CZE",2015,1,"rolling",0.792,0.208,1.275
"DNK",2015,1,"rolling",0.667,0.333,0.145789473684211
"EST",2015,1,"rolling",0.491,0.509,0.846911421911422
"ESP",2015,1,"rolling",0.724,0.276,0.872222222222222
"GEO",2015,1,"rolling",0.774,0.226,0.142261904761905
"GRC",2015,1,"rolling",0.471,0.529,2.37435897435897
"HRV",2015,1,"rolling",0.704,0.296,1.63333333333333
"HUN",2015,1,"rolling",0.833,0.167,0.683333333333333
"IRL",2015,1,"rolling",0.906,0.094,0.280897009966777
"ISR",2015,1,"rolling",0.811,0.189,0.402564102564103
"ITA",2015,1,"rolling",0.667,0.333,0.433333333333333
"KGZ",2015,1,"rolling",0.531,0.469,0.546766917293233
"LTU",2015,1,"rolling",0.925,0.075,0.142127659574468
"LUX",2015,1,"rolling",0.69,0.31,0.966666666666667
"LVA",2015,1,"rolling",0.69,0.31,1.58
"MAR",2015,1,"rolling",0.865,0.135,0.118571428571429
"MDA",2015,1,"rolling",0.962,0.038,0.0666666666666667
"MLT",2015,1,"rolling",0.957,0.043,0.8
"NLD",2015,1,"rolling",0.491,0.509,1.19848484848485
"NOR",2015,1,"rolling",0.379,0.621,2.17948717948718
"POL",2015,1,"rolling",0.532,0.468,0.384294871794872
"PRT",2015,1,"rolling",0.83,0.17,1.85
"ROU",2015,1,"rolling",0.875,0.125,0.277439024390244
"SRB",2015,1,"rolling",0.652,0.348,0.162857142857143
"SVN",2015,1,"rolling",0.83,0.17,0.6825
"SVK",2015,1,"rolling",0.712,0.288,1.72488888888889
"TUR",2015,1,"rolling",0.575,0.425,0.400297619047619
"USA",2015,1,"rolling",0.755,0.245,0.423986928104575
"ARM",2016,1,"rolling",0.654,0.346,2.55810810810811
"AUT",2016,1,"rolling",0.529,0.471,0.72
"BEL",2016,1,"rolling",0.885,0.115,0.385714285714286
"CHE",2016,1,"rolling",0.846,0.154,0.233333333333333
"CZE",2016,1,"rolling",0.827,0.173,0.440476190476191
"DNK",2016,1,"rolling",0.75,0.25,0.397549019607843
"EST",2016,1,"rolling",0.577,0.423,0.726023391812866
"ESP",2016,1,"rolling",0.536,0.464,0.52
"GEO",2016,1,"rolling",0.717,0.283,0.055
"GRC",2016,1,"rolling",0.733,0.267,0.3
"HRV",2016,1,"rolling",0.75,0.25,0.221929824561404
"HUN",2016,1,"rolling",0.714,0.286,0.355
"IRL",2016,1,"rolling",0.846,0.154,0.195
"ISR",2016,1,"rolling",0.846,0.154,0.583333333333333
"ITA",2016,1,"rolling",0.545,0.455,0.458333333333333
"KGZ",2016,1,"rolling",0.36,0.64,1.83030303030303
"LTU",2016,1,"rolling",0.885,0.115,0.45
"LUX",2016,1,"rolling",0.607,0.393,0.602549019607843
"LVA",2016,1,"rolling",0.786,0.214,0.441666666666667
"MAR",2016,1,"rolling",0.894,0.106,0.125470085470085
"MDA",2016,1,"rolling",1,0,0
"MLT",2016,1,"rolling",0.815,0.185,0.179545454545455
"NLD",2016,1,"rolling",0.519,0.481,0.969128787878788
"NOR",2016,1,"rolling",0.357,0.643,0.797619047619048
"POL",2016,1,"rolling",0.696,0.304,0.297121212121212
"PRT",2016,1,"rolling",0.712,0.288,0.858333333333333
"ROU",2016,1,"rolling",0.865,0.135,0.102173913043478
"SRB",2016,1,"rolling",0.625,0.375,0.534285714285714
"SVN",2016,1,"rolling",0.865,0.135,0.502173913043478
"SVK",2016,1,"rolling",0.805,0.195,0.201503759398496
"TUR",2016,1,"rolling",0.533,0.467,0.328571428571429
"USA",2016,1,"rolling",0.635,0.365,0.755961538461538
"ARM",2017,1,"rolling",0.731,0.269,0.552136752136752
"AUT",2017,1,"rolling",0.5,0.5,1.1125
"BEL",2017,1,"rolling",0.8,0.2,0.410714285714286
"CHE",2017,1,"rolling",0.827,0.173,0.602380952380952
"CZE",2017,1,"rolling",0.865,0.135,0.702380952380952
