"Country","Year","Week_ahead","Model","Accuracy","MZE","macroMAE"
"ARM",2015,1,"rolling",0.854,0.146,0.0857142857142857
"ARM",2016,1,"rolling",0.712,0.288,2.6
"ARM",2017,1,"rolling",0.769,0.231,0.647008547008547
"ARM",2015,1,"fix",0.829,0.171,0.0886554621848739
"ARM",2016,1,"fix",0.692,0.308,2.6027027027027
"ARM",2017,1,"fix",0.75,0.25,0.558119658119658
"ARM",2015,2,"rolling",0.902,0.098,0.0571428571428571
"ARM",2016,2,"rolling",0.692,0.308,2.6027027027027
"ARM",2017,2,"rolling",0.731,0.269,0.660683760683761
"ARM",2015,2,"fix",0.902,0.098,0.0571428571428571
"ARM",2016,2,"fix",0.673,0.327,2.60540540540541
"ARM",2017,2,"fix",0.731,0.269,0.660683760683761
"ARM",2015,3,"rolling",0.878,0.122,0.0600840336134454
"ARM",2016,3,"rolling",0.673,0.327,2.60540540540541
"ARM",2017,3,"rolling",0.769,0.231,0.555555555555556
"ARM",2015,3,"fix",0.854,0.146,0.0743697478991597
"ARM",2016,3,"fix",0.673,0.327,2.60540540540541
"ARM",2017,3,"fix",0.769,0.231,0.555555555555556
"ARM",2015,4,"rolling",0.854,0.146,0.0857142857142857
"ARM",2016,4,"rolling",0.692,0.308,2.6027027027027
"ARM",2017,4,"rolling",0.75,0.25,0.566666666666667
"ARM",2015,4,"fix",0.854,0.146,0.0857142857142857
"ARM",2016,4,"fix",0.692,0.308,2.6027027027027
"ARM",2017,4,"fix",0.731,0.269,0.569230769230769
"AUT",2015,1,"rolling",0.438,0.562,0.421428571428571
"AUT",2016,1,"rolling",0.588,0.412,0.75
"AUT",2017,1,"rolling",0.545,0.455,1.22916666666667
"AUT",2015,1,"fix",0.312,0.688,0.35
"AUT",2016,1,"fix",0.353,0.647,0.73
"AUT",2017,1,"fix",0.455,0.545,1.02083333333333
"AUT",2015,2,"rolling",0.25,0.75,1.07142857142857
"AUT",2016,2,"rolling",0.235,0.765,0.78
"AUT",2017,2,"rolling",0.409,0.591,1.69166666666667
"AUT",2015,2,"fix",0.125,0.875,0.85
"AUT",2016,2,"fix",0.235,0.765,0.78
"AUT",2017,2,"fix",0.364,0.636,1.73333333333333
"AUT",2015,3,"rolling",0.312,0.688,0.821428571428571
"AUT",2016,3,"rolling",0.176,0.824,0.98
"AUT",2017,3,"rolling",0.5,0.5,1.44166666666667
"AUT",2015,3,"fix",0.125,0.875,1.05
"AUT",2016,3,"fix",0.176,0.824,0.796666666666667
"AUT",2017,3,"fix",0.318,0.682,1.6125
"AUT",2015,4,"rolling",0.312,0.688,0.985714285714286
"AUT",2016,4,"rolling",0.118,0.882,1.24666666666667
"AUT",2017,4,"rolling",0.409,0.591,1.59166666666667
"AUT",2015,4,"fix",0.125,0.875,1.05
"AUT",2016,4,"fix",0.235,0.765,1.03
"AUT",2017,4,"fix",0.136,0.864,1.95833333333333
"BEL",2015,1,"rolling",0.83,0.17,1.51666666666667
"BEL",2016,1,"rolling",0.904,0.096,0.416666666666667
"BEL",2017,1,"rolling",0.8,0.2,0.457142857142857
"BEL",2015,1,"fix",0.83,0.17,1.46666666666667
"BEL",2016,1,"fix",0.904,0.096,0.416666666666667
"BEL",2017,1,"fix",0.8,0.2,0.457142857142857
"BEL",2015,2,"rolling",0.83,0.17,1.6
"BEL",2016,2,"rolling",0.885,0.115,0.383333333333333
"BEL",2017,2,"rolling",0.8,0.2,0.514285714285714
"BEL",2015,2,"fix",0.83,0.17,1.85
"BEL",2016,2,"fix",0.904,0.096,0.683333333333333
"BEL",2017,2,"fix",0.771,0.229,0.964285714285714
"BEL",2015,3,"rolling",0.811,0.189,1.96666666666667
"BEL",2016,3,"rolling",0.885,0.115,0.85
"BEL",2017,3,"rolling",0.8,0.2,1.21785714285714
"BEL",2015,3,"fix",0.811,0.189,2.16666666666667
"BEL",2016,3,"fix",0.885,0.115,0.85
"BEL",2017,3,"fix",0.8,0.2,0.917857142857143
"BEL",2015,4,"rolling",0.868,0.132,2.45
"BEL",2016,4,"rolling",0.846,0.154,0.95
"BEL",2017,4,"rolling",0.8,0.2,1.32142857142857
"BEL",2015,4,"fix",0.811,0.189,2.4
"BEL",2016,4,"fix",0.846,0.154,0.885714285714286
"BEL",2017,4,"fix",0.743,0.257,1.32857142857143
"CHE",2015,1,"rolling",0.887,0.113,0.533333333333333
"CHE",2016,1,"rolling",0.865,0.135,0.208333333333333
"CHE",2017,1,"rolling",0.865,0.135,0.454761904761905
"CHE",2015,1,"fix",0.868,0.132,0.533333333333333
"CHE",2016,1,"fix",0.846,0.154,0.233333333333333
"CHE",2017,1,"fix",0.846,0.154,0.404761904761905
"CHE",2015,2,"rolling",0.868,0.132,0.933333333333333
"CHE",2016,2,"rolling",0.769,0.231,0.516666666666667
"CHE",2017,2,"rolling",0.827,0.173,0.904761904761905
"CHE",2015,2,"fix",0.868,0.132,0.902439024390244
"CHE",2016,2,"fix",0.788,0.212,0.516666666666667
"CHE",2017,2,"fix",0.846,0.154,0.504761904761905
"CHE",2015,3,"rolling",0.868,0.132,0.985772357723577
"CHE",2016,3,"rolling",0.808,0.192,0.566666666666667
"CHE",2017,3,"rolling",0.808,0.192,0.707142857142857
"CHE",2015,3,"fix",0.83,0.17,1.40243902439024
"CHE",2016,3,"fix",0.788,0.212,0.741666666666667
"CHE",2017,3,"fix",0.808,0.192,0.807142857142857
"CHE",2015,4,"rolling",0.83,0.17,1.63577235772358
"CHE",2016,4,"rolling",0.788,0.212,0.433333333333333
