"Country","Year","Week_ahead","Model","Accuracy","MZE","macroMAE"
"ARM",2015,1,"rolling",0.805,0.195,0.0915966386554622
"ARM",2016,1,"rolling",0.692,0.308,2.6027027027027
"ARM",2017,1,"rolling",0.75,0.25,0.558119658119658
"ARM",2015,1,"fix",0.829,0.171,0.0773109243697479
"ARM",2016,1,"fix",0.692,0.308,2.6027027027027
"ARM",2017,1,"fix",0.75,0.25,0.558119658119658
"ARM",2015,2,"rolling",0.878,0.122,0.0714285714285714
"ARM",2016,2,"rolling",0.673,0.327,2.60540540540541
"ARM",2017,2,"rolling",0.731,0.269,0.660683760683761
"ARM",2015,2,"fix",0.854,0.146,0.0857142857142857
"ARM",2016,2,"fix",0.673,0.327,2.60540540540541
"ARM",2017,2,"fix",0.712,0.288,0.663247863247863
"ARM",2015,3,"rolling",0.829,0.171,0.0886554621848739
"ARM",2016,3,"rolling",0.654,0.346,2.61081081081081
"ARM",2017,3,"rolling",0.75,0.25,0.558119658119658
"ARM",2015,3,"fix",0.854,0.146,0.0857142857142857
"ARM",2016,3,"fix",0.673,0.327,2.60540540540541
"ARM",2017,3,"fix",0.769,0.231,0.555555555555556
"ARM",2015,4,"rolling",0.829,0.171,0.0886554621848739
"ARM",2016,4,"rolling",0.673,0.327,2.61081081081081
"ARM",2017,4,"rolling",0.731,0.269,0.58034188034188
"ARM",2015,4,"fix",0.854,0.146,0.0857142857142857
"ARM",2016,4,"fix",0.673,0.327,2.61081081081081
"ARM",2017,4,"fix",0.731,0.269,0.58034188034188
"AUT",2015,1,"rolling",0.312,0.688,0.435714285714286
"AUT",2016,1,"rolling",0.529,0.471,0.67
"AUT",2017,1,"rolling",0.5,0.5,0.9875
"AUT",2015,1,"fix",0.25,0.75,0.45
"AUT",2016,1,"fix",0.529,0.471,0.67
"AUT",2017,1,"fix",0.455,0.545,1.00833333333333
"AUT",2015,2,"rolling",0.188,0.812,0.835714285714286
"AUT",2016,2,"rolling",0.294,0.706,0.61
"AUT",2017,2,"rolling",0.364,0.636,1.225
"AUT",2015,2,"fix",0.125,0.875,0.85
"AUT",2016,2,"fix",0.294,0.706,0.63
"AUT",2017,2,"fix",0.409,0.591,1.23333333333333
"AUT",2015,3,"rolling",0.188,0.812,1.13571428571429
"AUT",2016,3,"rolling",0.176,0.824,0.896666666666667
"AUT",2017,3,"rolling",0.409,0.591,1.51666666666667
"AUT",2015,3,"fix",0.125,0.875,1.15
"AUT",2016,3,"fix",0.176,0.824,0.796666666666667
"AUT",2017,3,"fix",0.318,0.682,1.8375
"AUT",2015,4,"rolling",0.188,0.812,1.13571428571429
"AUT",2016,4,"rolling",0.118,0.882,1.11333333333333
