"Country","Year","Week_ahead","Model","Accuracy","MZE","macroMAE"
"ARM",2015,1,"rolling",0.805,0.195,0.0915966386554622
"AUT",2015,1,"rolling",0.312,0.688,0.435714285714286
"BEL",2015,1,"rolling",0.83,0.17,1.46666666666667
"CHE",2015,1,"rolling",0.868,0.132,0.633333333333333
"CZE",2015,1,"rolling",0.792,0.208,0.975
"DNK",2015,1,"rolling",0.7,0.3,0.140526315789474
"EST",2015,1,"rolling",0.472,0.528,0.720885780885781
"ESP",2015,1,"rolling",0.724,0.276,0.972222222222222
"GEO",2015,1,"rolling",0.774,0.226,0.142261904761905
"GRC",2015,1,"rolling",0.559,0.441,2.21602564102564
"HRV",2015,1,"rolling",0.667,0.333,1.58333333333333
"HUN",2015,1,"rolling",0.833,0.167,0.683333333333333
"IRL",2015,1,"rolling",0.849,0.151,0.335714285714286
"ISR",2015,1,"rolling",0.83,0.17,0.302564102564103
"ITA",2015,1,"rolling",0.667,0.333,0.45
"KGZ",2015,1,"rolling",0.594,0.406,0.53203007518797
"LTU",2015,1,"rolling",0.925,0.075,0.142127659574468
"LUX",2015,1,"rolling",0.69,0.31,0.916666666666667
"LVA",2015,1,"rolling",0.69,0.31,1.18
"MAR",2015,1,"rolling",0.904,0.096,0.0642857142857143
"MDA",2015,1,"rolling",0.925,0.075,0.102
"MLT",2015,1,"rolling",0.957,0.043,0.8
"NLD",2015,1,"rolling",0.547,0.453,1.19621212121212
"NOR",2015,1,"rolling",0.414,0.586,1.43910256410256
"POL",2015,1,"rolling",0.511,0.489,0.384294871794872
"PRT",2015,1,"rolling",0.83,0.17,1.6
"ROU",2015,1,"rolling",0.896,0.104,0.252439024390244
"SRB",2015,1,"rolling",0.652,0.348,0.186190476190476
"SVN",2015,1,"rolling",0.849,0.151,0.6925
"SVK",2015,1,"rolling",0.731,0.269,1.786
"TUR",2015,1,"rolling",0.625,0.375,0.335416666666667
"USA",2015,1,"rolling",0.774,0.226,0.318986928104575
"ARM",2016,1,"rolling",0.692,0.308,2.6027027027027
"AUT",2016,1,"rolling",0.529,0.471,0.67
"BEL",2016,1,"rolling",0.904,0.096,0.416666666666667
"CHE",2016,1,"rolling",0.827,0.173,0.258333333333333
"CZE",2016,1,"rolling",0.846,0.154,0.198809523809524
"DNK",2016,1,"rolling",0.786,0.214,0.247549019607843
"EST",2016,1,"rolling",0.615,0.385,0.715497076023392
"ESP",2016,1,"rolling",0.464,0.536,0.618333333333333
"GEO",2016,1,"rolling",0.739,0.261,0.0516666666666667
"GRC",2016,1,"rolling",0.733,0.267,0.3
"HRV",2016,1,"rolling",0.857,0.143,0.0666666666666667
"HUN",2016,1,"rolling",0.75,0.25,0.305
"IRL",2016,1,"rolling",0.846,0.154,0.19
"ISR",2016,1,"rolling",0.885,0.115,0.35
"ITA",2016,1,"rolling",0.545,0.455,0.481666666666667
"KGZ",2016,1,"rolling",0.44,0.56,1.78787878787879
"LTU",2016,1,"rolling",0.885,0.115,0.55
"LUX",2016,1,"rolling",0.643,0.357,0.61921568627451
"LVA",2016,1,"rolling",0.821,0.179,0.325
"MAR",2016,1,"rolling",0.872,0.128,0.133162393162393
"MDA",2016,1,"rolling",1,0,0
"MLT",2016,1,"rolling",0.815,0.185,0.179545454545455
"NLD",2016,1,"rolling",0.558,0.442,0.804545454545454
"NOR",2016,1,"rolling",0.321,0.679,0.634761904761905
"POL",2016,1,"rolling",0.696,0.304,0.312121212121212
"PRT",2016,1,"rolling",0.731,0.269,0.833333333333333
"ROU",2016,1,"rolling",0.865,0.135,0.102173913043478
"SRB",2016,1,"rolling",0.562,0.438,0.454285714285714
"SVN",2016,1,"rolling",0.865,0.135,0.452173913043478
"SVK",2016,1,"rolling",0.854,0.146,0.144360902255639
"TUR",2016,1,"rolling",0.667,0.333,0.3
"USA",2016,1,"rolling",0.673,0.327,0.498269230769231
"ARM",2017,1,"rolling",0.75,0.25,0.558119658119658
"AUT",2017,1,"rolling",0.5,0.5,0.9875
"BEL",2017,1,"rolling",0.8,0.2,0.453571428571429
"CHE",2017,1,"rolling",0.846,0.154,0.554761904761905
"CZE",2017,1,"rolling",0.846,0.154,0.952380952380952
"DNK",2017,1,"rolling",0.857,0.143,0.0719298245614035
"EST",2017,1,"rolling",0.615,0.385,0.598319327731092
"ESP",2017,1,"rolling",0.786,0.214,0.255555555555556
"GEO",2017,1,"rolling",0.848,0.152,0.113333333333333
"GRC",2017,1,"rolling",0.712,0.288,0.6
"HRV",2017,1,"rolling",0.769,0.231,1.17222222222222
